,SampleAlgorithm,%FeatureSelection,#Features,FeatureImportance,OriginalFS,Algorithm,%Configurations,Dummy,StartTime,EndTime
0,distBased,1.0,22,False,None,RandomForest,0.1,False,2023-06-15 22:27:09.675771,2023-06-15 22:27:22.354884
10,distBased,1.0,22,False,None,RandomForest,0.2,False,2023-06-15 22:27:22.370808,2023-06-15 22:27:37.516902
20,distBased,1.0,22,False,None,RandomForest,0.3,False,2023-06-15 22:27:37.566965,2023-06-15 22:27:53.624162
30,distBased,1.0,22,False,None,RandomForest,0.4,False,2023-06-15 22:27:53.653485,2023-06-15 22:28:09.096619
40,distBased,1.0,22,False,None,RandomForest,0.5,False,2023-06-15 22:28:09.132841,2023-06-15 22:28:26.989571
50,distBased,1.0,22,False,None,RandomForest,0.6,False,2023-06-15 22:28:26.999397,2023-06-15 22:28:46.164543
60,distBased,1.0,22,False,None,RandomForest,0.7,False,2023-06-15 22:28:46.193652,2023-06-15 22:29:10.575777
70,distBased,1.0,22,False,None,RandomForest,0.8,False,2023-06-15 22:29:10.584358,2023-06-15 22:29:29.380453
80,distBased,1.0,22,False,None,RandomForest,0.9,False,2023-06-15 22:29:29.403138,2023-06-15 22:29:51.064096
90,distBased,1.0,22,False,None,RandomForest,,,2023-06-15 22:27:09.674357,2023-06-15 22:29:51.072922
100,divDistBased,1.0,22,False,None,RandomForest,0.1,False,2023-06-15 22:29:55.454020,2023-06-15 22:30:12.383540
110,divDistBased,1.0,22,False,None,RandomForest,0.2,False,2023-06-15 22:30:12.392388,2023-06-15 22:30:24.609167
120,divDistBased,1.0,22,False,None,RandomForest,0.3,False,2023-06-15 22:30:24.619864,2023-06-15 22:30:42.790086
130,divDistBased,1.0,22,False,None,RandomForest,0.4,False,2023-06-15 22:30:42.801027,2023-06-15 22:30:56.868944
140,divDistBased,1.0,22,False,None,RandomForest,0.5,False,2023-06-15 22:30:56.878220,2023-06-15 22:31:14.249856
150,divDistBased,1.0,22,False,None,RandomForest,0.6,False,2023-06-15 22:31:14.284405,2023-06-15 22:31:34.987950
