,SampleAlgorithm,%FeatureSelection,#Features,FeatureImportance,OriginalFS,Algorithm,%Configurations,Dummy,StartTime,EndTime
0,distBased,1.0,14,False,None,RandomForest,0.1,False,2023-06-15 22:28:08.914180,2023-06-15 22:28:24.385116
10,distBased,1.0,14,False,None,RandomForest,0.2,False,2023-06-15 22:28:24.413296,2023-06-15 22:28:40.896603
20,distBased,1.0,14,False,None,RandomForest,0.3,False,2023-06-15 22:28:40.935710,2023-06-15 22:28:57.739251
30,distBased,1.0,14,False,None,RandomForest,0.4,False,2023-06-15 22:28:57.747602,2023-06-15 22:29:12.790728
40,distBased,1.0,14,False,None,RandomForest,0.5,False,2023-06-15 22:29:12.803846,2023-06-15 22:29:26.836692
50,distBased,1.0,14,False,None,RandomForest,0.6,False,2023-06-15 22:29:26.879744,2023-06-15 22:29:40.891595
60,distBased,1.0,14,False,None,RandomForest,0.7,False,2023-06-15 22:29:40.900689,2023-06-15 22:29:57.293442
70,distBased,1.0,14,False,None,RandomForest,0.8,False,2023-06-15 22:29:57.310866,2023-06-15 22:30:11.846473
80,distBased,1.0,14,False,None,RandomForest,0.9,False,2023-06-15 22:30:11.871110,2023-06-15 22:30:24.122492
90,distBased,1.0,14,False,None,RandomForest,,,2023-06-15 22:28:08.912365,2023-06-15 22:30:24.131745
100,divDistBased,1.0,14,False,None,RandomForest,0.1,False,2023-06-15 22:30:28.214541,2023-06-15 22:30:44.807514
110,divDistBased,1.0,14,False,None,RandomForest,0.2,False,2023-06-15 22:30:44.834068,2023-06-15 22:30:55.430323
120,divDistBased,1.0,14,False,None,RandomForest,0.3,False,2023-06-15 22:30:55.449200,2023-06-15 22:31:10.545428
130,divDistBased,1.0,14,False,None,RandomForest,0.4,False,2023-06-15 22:31:10.580343,2023-06-15 22:31:28.338346
140,divDistBased,1.0,14,False,None,RandomForest,0.5,False,2023-06-15 22:31:28.355735,2023-06-15 22:31:41.640828
150,divDistBased,1.0,14,False,None,RandomForest,0.6,False,2023-06-15 22:31:41.667467,2023-06-15 22:31:56.396641
160,divDistBased,1.0,14,False,None,RandomForest,0.7,False,2023-06-15 22:31:56.481083,2023-06-15 22:32:12.587840
170,divDistBased,1.0,14,False,None,RandomForest,0.8,False,2023-06-15 22:32:12.622842,2023-06-15 22:32:25.618306
180,divDistBased,1.0,14,False,None,RandomForest,0.9,False,2023-06-15 22:32:25.627462,2023-06-15 22:32:41.615282
190,divDistBased,1.0,14,False,None,RandomForest,,,2023-06-15 22:30:28.213036,2023-06-15 22:32:41.637169
200,henard,1.0,14,False,None,RandomForest,0.1,False,2023-06-15 22:32:44.449261,2023-06-15 22:33:03.060359
210,henard,1.0,14,False,None,RandomForest,0.2,False,2023-06-15 22:33:03.077730,2023-06-15 22:33:17.789308
220,henard,1.0,14,False,None,RandomForest,0.3,False,2023-06-15 22:33:17.815527,2023-06-15 22:33:31.367733
230,henard,1.0,14,False,None,RandomForest,0.4,False,2023-06-15 22:33:31.416773,2023-06-15 22:33:45.557646
240,henard,1.0,14,False,None,RandomForest,0.5,False,2023-06-15 22:33:45.599262,2023-06-15 22:33:57.458032
250,henard,1.0,14,False,None,RandomForest,0.6,False,2023-06-15 22:33:57.493286,2023-06-15 22:34:13.728488
